"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"D'Ernest Johnson","JAC","31.8","114.0","0.5","5.5","39.2","0.1","0.1","19.0"
"Dillon Johnson","CAR","0.0","107.0","1.0","3.0","22.0","0.0","0.0","18.9"
"Craig Reynolds","DET","21.6","102.6","0.8","4.1","33.3","0.1","0.1","18.7"
"Jeremy McNichols","WAS","18.4","72.5","0.2","9.2","69.5","0.4","0.0","17.3"
"Kenny McIntosh","SEA","26.9","89.4","0.6","4.1","32.2","0.1","0.1","16.4"
"Blake Watson","DEN","14.6","84.1","0.7","4.0","28.6","0.1","0.0","15.9"
"Hunter Luepke","DAL","7.4","26.3","1.4","4.0","27.1","0.2","0.0","14.8"
"Jeff Wilson Jr.","MIA","15.0","80.2","0.6","3.2","23.6","0.1","0.0","14.7"
"Sean Tucker","TB","25.5","80.6","0.6","2.8","21.4","0.1","0.1","14.2"
"Dare Ogunbowale","HOU","16.7","56.9","0.4","7.3","54.7","0.1","0.0","14.0"
"Julius Chestnut","TEN","20.7","74.0","0.5","3.9","31.4","0.1","0.1","13.8"
"Jordan Mims","NO","14.6","60.8","0.6","3.5","25.3","0.1","0.0","12.5"
"Cody Schrader","LAR","31.0","77.0","0.5","2.0","14.0","0.0","0.0","12.1"
"Carlos Washington Jr.","ATL","0.0","37.0","1.0","4.0","22.0","0.0","0.0","11.9"
"Boston Scott","PIT","2.6","54.8","0.5","2.4","17.5","0.1","0.0","10.7"
"Israel Abanikanda","NYJ","14.9","57.4","0.3","2.7","19.0","0.1","0.1","10.1"
"Sione Vaki","DET","12.6","60.0","0.2","2.5","18.7","0.0","0.0","9.3"
"Avery Williams","ATL","7.6","35.0","0.4","3.9","23.1","0.1","0.0","9.1"
"Raheem Blackshear","CAR","7.2","38.6","0.2","4.7","34.6","0.0","0.0","8.5"
"Malik Davis","DAL","0.0","55.0","0.0","3.0","23.0","0.0","0.0","7.8"
"Alec Ingold","MIA","1.1","4.4","0.0","7.6","55.5","0.3","0.1","7.8"
"Hassan Haskins","LAC","9.5","42.1","0.1","2.7","17.4","0.1","0.0","7.0"
"Emani Bailey","KC","0.0","47.0","0.0","2.0","18.0","0.0","0.0","6.5"
"Kene Nwangwu","NYJ","0.0","49.0","0.0","2.0","11.0","0.0","0.0","6.0"
"Travis Homer","CHI","2.3","32.3","0.0","3.1","22.1","0.1","0.0","6.0"
"Patrick Taylor Jr.","SF","7.9","28.0","0.2","1.9","13.5","0.1","0.0","5.6"
"DeeJay Dallas","ARI","2.5","28.0","0.0","3.5","24.0","0.0","0.0","5.2"
"Nyheim Hines","CLE","1.3","17.1","0.0","4.5","32.3","0.0","0.0","5.1"
"Reggie Gilliam","BUF","0.0","0.0","0.0","4.4","33.2","0.3","0.0","4.9"
"Keilan Robinson","JAC","0.0","33.0","0.0","2.0","15.0","0.0","0.0","4.8"
"Patrick Ricard","BAL","2.7","10.9","0.0","3.7","26.2","0.2","0.0","4.8"
"Adam Prentice","NO","3.3","14.0","0.1","3.3","23.0","0.1","0.0","4.8"
"Michael Burton","DEN","2.4","9.4","0.0","3.7","24.5","0.2","0.0","4.5"
"Keaontay Ingram","KC","0.0","30.0","0.0","2.0","10.0","0.0","0.0","4.0"
"Myles Gaskin","MIN","0.0","26.0","0.0","2.0","11.0","0.0","0.0","3.7"
"C.J. Ham","MIN","2.0","8.3","0.0","3.3","22.4","0.1","0.0","3.7"
"Tyrion Davis-Price","PHI","0.0","17.0","0.0","1.0","3.0","0.0","0.0","2.0"
""
""
